Джэймі	B-PER
Бёрнэт	I-PER
(	O
37	O
)	O

Станцыя	B-ORG
метро	I-ORG
Партызанская	I-ORG
,	I-ORG
Мінск	I-ORG

Гэты	O
працэс	O
носіць	O
назву	O
глюкоза-аланінавага	O
цыкла	O
і	O
з'яўляецца	O
адным	O
з	O
асноўных	O
шляхоў	O
глюканеагенеза	O
ў	O
печані	B-ORG
.	O

Гетман	B-ORG
,	O
даведаўшыся	O
аб	O
такой	O
справе	O
,	O
накіраваў	O
свае	O
войскі	O
ў	O
зазначанае	O
месца	O
і	O
чакаць	O
умоўленую	O
гадзіну	O
.	O

Абмываецца	O
Персідскім	B-LOC
залівам	I-LOC
на	O
паўночным	O
усходзе	O
і	O
Чырвоным	B-LOC
морам	I-LOC
на	O
захадзе	O
.	O

Групавая	O
справа	O
Жаўрыда	O
і	O
іншых	O
№	O
20951-с	O
з	O
фотаздымкам	O
захоўваецца	O
ў	O
архіве	O
КДБ	B-ORG
Беларусі	I-ORG
.	O

Біяграфія	O
на	O
старонцы	O
Беларускага	B-ORG
тэлеграфнага	I-ORG
агенцтва	I-ORG

Ніл	B-PER
Робертсан	I-PER
(	O
4	O
)	O

'	O
''	O
Джо	B-PER
Пэры	I-PER
''	O
'	O

'	O
''	O
Пётр	B-PER
Міронавіч	I-PER
Машэраў	I-PER
''	O
'	O

Агульная	O
плошча	O
сушы	B-ORG
—	O
66,3	O
км²	O
.	O

'	O
''	O
Грэм	B-PER
Дот	I-PER
''	O
'	O

Найбольш	O
вядомы	O
з	O
іх	O
—	O
Анакаланг	B-ORG
.	O

Сяргей	B-PER
Сяргеевіч	I-PER
Сідорскі	I-PER
(	O
нар	O
.	O

'	O
''	O
Далас	B-ORG
Каўбойз	I-ORG
''	O
'	O

Яфрэйтар	B-ORG
(	O
''	O
Gefreiter	O
''	O
)	O

гадах	O
вучыўся	O
ў	O
дамініканскай	B-ORG
школе	O
.	O

)	O
,	O
рознабакова	O
адораны	O
самавук	O
,	O
военачальнік	O
і	O
актывіст	O
Рэспубліканскай	B-ORG
партыі	I-ORG
.	O

Савет	B-ORG
па	I-ORG
правах	I-ORG
чалавека	I-ORG
ААН	I-ORG

Рака	B-LOC
Марава	I-LOC
,	I-LOC
ніжні	I-LOC
прыток	I-LOC
Дуная	I-LOC

Звесткі	O
,	O
атрыманыя	O
з	O
аналізу	O
архіваў	O
Саргана	B-PER
II	I-PER
,	O
Асархадона	B-PER
і	O
Ашурбаніпала	B-PER
зводзяцца	O
да	O
наступнага	O
.	O

Берлінская	B-ORG
дзяржаўная	I-ORG
опера	I-ORG

Вальтэр	B-PER
фон	I-PER
Рэйхенау	I-PER
(	O
1.12.1941-15.01.1942	O
)	O

Сцюарт	B-PER
Бінэм	I-PER
(	O
1	O
)	O

Гарадзенскі	B-ORG
сойм	I-ORG
,	I-ORG
1793	I-ORG

'	O
''	O
y	O
''	O
Пітсбург	B-ORG
Стайлерз	I-ORG

Тэрнопальскай	B-LOC
аблсавет	O
патрабавала	O
разарваць	O
''Будапешцкі	O
мемарандум	O
''	O
.	O

Масква	B-LOC
—	O
,	O
г	O
.	O

Сын	O
Луцыя	B-PER
Анея	I-PER
Сенекі	I-PER
Старэйшага	I-PER
.	O

Чэмпіён	B-ORG
свету	I-ORG
1950	I-ORG
у	O
складзе	O
нацыянальнай	B-ORG
зборнай	I-ORG
Уругвая	I-ORG
.	O

Жонас	B-PER
Гансалвіс	I-PER
Алівейра	I-PER
(	O
больш	O
вядомы	O
як	O
''Жонас	O
''	O
;	O
нар	O
.	O

Малы	B-LOC
шэры	I-LOC
ківі	I-LOC

'	O
''	O
'	O
''	O
—	O
Партыя	B-ORG
незалежнасці	I-ORG
Пуэрта-Рыка	I-ORG

Алег	B-PER
Юр'евіч	I-PER
Латышонак	I-PER

Профіль	O
на	O
старонцы	O
ФІФА	B-ORG

на	O
сродкі	O
Еўрапейскай	B-ORG
камісіі	I-ORG
.	O

Старое	B-ORG
царства	I-ORG
,	I-ORG
Егіпет	I-ORG

Горад	B-LOC
Карлавы	I-LOC
Вары	I-LOC

Тамерлан	B-PER
,	O
выдатны	O
палкаводзец	O

Былы	O
другі	O
нумар	O
сусветнага	B-ORG
рэйтынгу	I-ORG
(	O
1987–1989	O
)	O
.	O

Эндру	B-PER
Пэджэт	I-PER
(	O
78	O
)	O

|	O
Брэтань	B-LOC
(	O
6	O
)	O

У	O
чэрвені	O
Хана	O
была	O
выкліканая	O
на	O
сумоўе	O
ў	O
Тэль-Авіў	B-LOC
.	O

Андрэй	B-PER
Аляксандравіч	I-PER
Гарбуноў	I-PER

Канстанцін	B-PER
I	I-PER
,	I-PER
Папа	I-PER
Рымскі	I-PER

Рэвалюцыя	B-ORG
ў	I-ORG
Кыргызстане	I-ORG
,	I-ORG
2010	I-ORG

па	O
ўзбярэжжы	O
Жоўтага	B-LOC
мора	I-LOC
.	O

1998	B-ORG
—	O
¼	O
фіналу	O

'	O
''	O
Дзін	B-PER
Цзюньхуэй	I-PER
''	O
'	O

'	O
''	O
Джад	B-PER
Трамп	I-PER
''	O
'	O

Філіп	B-PER
V	I-PER
,	I-PER
кароль	I-PER
Іспаніі	I-PER

Міжнародны	B-ORG
саюз	I-ORG
аховы	I-ORG
прыроды	I-ORG

Ханс	B-PER
Альбрэхт	I-PER
Бетэ	I-PER

Халдэнэ	B-ORG
,	I-ORG
спадарожнік	I-ORG

'	O
''	O
Марк	B-PER
Сэлбі	I-PER
''	O
'	O

'	O
''	O
Сэнт-Луіс	B-ORG
Рэмс	I-ORG
''	O
'	O

Вільгельмсгафен	B-LOC
(	O
Германія	B-LOC
)	O
.	O

Dare	B-ORG
to	I-ORG
Dream	I-ORG
,	I-ORG
альбом	I-ORG

Джымі	B-PER
Робертсан	I-PER
(	O
52	O
)	O

'	O
''	O
Лему́рыі	O
''	O
'	O
(	O
)	O
,	O
'	O
''	O
Лемура́ліі	O
''	O
'	O
(	O
''Lemuralia	O
''	O
)	O
-	O
святы	O
памерлых	O
у	O
Старажытным	B-LOC
Рыме	I-LOC
.	O

У	O
Даніі	B-LOC
адпаведную	O
службовую	O
асобу	O
завуць	O
''Overborgmester	O
''	O
.	O

Пісана	O
(	O
«Валенсіянскія	O
вар'яты»	O
Лопэ	B-PER
дэ	I-PER
Вэгі	I-PER
)	O
,	O

Мяжуе	O
з	O
Калмыкіяй	B-LOC
,	O
Краснадарскім	B-LOC
краем	I-LOC
,	O
Дагестанам	B-LOC
,	O
Чачэнскай	B-LOC
рэспублікай	I-LOC
,	O
Растоўскай	B-LOC
вобласцю	I-LOC
,	O
Карачаева-Чаркесіяй	B-LOC
і	O
Кабардзіна-Балкарыяй	B-LOC
.	O

Уільям	B-PER
Холман	I-PER
Хант	I-PER

Еўрапейскі	B-ORG
тур	I-ORG
PTC	I-ORG
2013	I-ORG
/	I-ORG
2014	I-ORG
–	I-ORG
Этап	I-ORG
2	I-ORG
,	I-ORG
снукер	I-ORG

Далучаныя	O
тэрыторыі	O
ўтварылі	O
ў	O
наступным	O
годзе	O
правінцыю	O
