tilvísun	O
Rainier	B-PER
3.	I-PER
fursti	I-PER
af	I-PER
Mónakó	I-PER

CSI	B-ORG
:	I-ORG
Crime	I-ORG
Scene	I-ORG
Investigation	I-ORG

Hann	O
var	O
einn	O
af	O
fyrstu	O
meðlimum	O
Greenpeace	B-ORG
.	O

tilvísun	O
Concerned	B-ORG
Women	I-ORG
for	I-ORG
America	I-ORG

Þá	O
nefndist	O
bærinn	O
Brattahlíð	B-LOC
og	O
lá	O
í	O
miðri	O
Eystribyggð	B-LOC
.	O

Marcia	B-PER
Wallace	I-PER
(	O
Mrs.	O
Krabapple	O
)	O
;	O

Hann	O
var	O
viðurkenndur	O
af	O
Bandaríkjunum	B-LOC
sem	O
„hetja	O
sem	O
vinnur	O
að	O
binda	O
enda	O
á	O
nútímaþrælahald“	O
.	O

TILVÍSUN	O
Stofn	B-ORG
(	I-ORG
málfræði	I-ORG
)	I-ORG

tilvísun	O
Pýramídinn	B-ORG
mikli	I-ORG
í	I-ORG
Gísa	I-ORG

Heilaga	B-ORG
rómverska	I-ORG
ríkið	I-ORG

tilvísun	O
Dimítríj	B-PER
1	I-PER
.	I-PER

Með	O
Guðbrandi	B-PER
Vigfússyni	I-PER
,	O
sem	O
skrifaði	O
upp	O
textann	O
.	O

tilvísun	O
West	B-ORG
Ham	I-ORG
United	I-ORG
F.C	I-ORG
.	I-ORG

Meðlimur	O
Heimsviðskiptaráðstefnunnar	B-ORG
í	I-ORG
Davos	I-ORG
árin	O
2000-2004	O

Rómverskir	B-LOC
hermenn	O
hafa	O
nýlokið	O
endurbyggingu	O
Gaulverjabæjar	O
.	O

Siðaskiptin	B-ORG
gengu	O
aldrei	O
í	O
garð	O
í	O
héraðinu	O
,	O
þar	O
sem	O
ströng	O
lög	O
gegn	O
nýju	O
trúnni	O
voru	O
í	O
gildi	O
.	O

Búlgaría	B-LOC
(	O
63	O
)	O

Þekktasti	O
kuðungsferillinn	O
er	O
kenndur	O
við	O
